case_id,pool,family,expected_behavior,relation_kinds,PASS_FAIL,reason
R2O-PG-P001,primary,simple_definition,answer,definition,PASS,ok
R2O-PG-P002,primary,contextual_definition,answer,process,PASS,ok
R2O-PG-P003,primary,role_responsibility,answer,role,PASS,ok
R2O-PG-P004,primary,impact_effect,abstain,requirement,PASS,ok
R2O-PG-P005,primary,causal_why,abstain,requirement,PASS,ok
R2O-PG-P006,primary,how_process,answer,requirement,PASS,ok
R2O-PG-P007,primary,comparison,answer,comparison_dimension,PASS,ok
R2O-PG-P008,primary,relationship,answer,relationship,PASS,ok
R2O-PG-P009,primary,examples,answer,capability,PASS,ok
R2O-PG-P010,primary,trade_offs,abstain,factual,PASS,ok
R2O-PG-P011,primary,architecture_components,abstain,factual,PASS,ok
R2O-PG-P012,primary,capability_skill_requirement,abstain,relationship,PASS,ok
R2O-PG-P013,primary,enumerative_list,answer,role,PASS,ok
R2O-PG-P014,primary,multi_part,partial,requirement,PASS,ok
R2O-PG-P015,primary,broad_synthesis,answer,factual,PASS,ok
R2O-PG-P016,primary,narrow_factual,answer,requirement,PASS,ok
R2O-PG-P017,primary,ambiguous_clarification,clarify-compatible,relationship,PASS,ok
R2O-PG-P018,primary,insufficient_evidence,abstain,tradeoff,PASS,ok
R2O-PG-P019,primary,partially_sufficient_evidence,partial,factual,PASS,ok
R2O-PG-P020,primary,conflicting_evidence,abstain,effect,PASS,ok
R2O-PG-P021,primary,lexical_similarity_low_relevance,abstain,relationship,PASS,ok
R2O-PG-P022,primary,short_query,answer,causal,PASS,ok
R2O-PG-P023,primary,long_compositional_query,answer,component,PASS,ok
R2O-PG-P024,primary,paraphrase_equivalence,answer,causal,PASS,ok
R2O-PG-P025,primary,adversarial_category_mutation,abstain,role,PASS,ok
R2O-PG-P026,primary,causal_strengthening_negative,abstain,relationship,PASS,ok
R2O-PG-P027,primary,universalization_negative,abstain,requirement,PASS,ok
R2O-PG-P028,primary,modality_necessity_strengthening_negative,abstain,role,PASS,ok
R2O-PG-P029,primary,temporal_version,abstain,temporal,PASS,ok
R2O-PG-P030,primary,provenance_source_trace,answer,provenance,PASS,ok
R2O-PG-P031,primary,graph_relationship,answer,graph,PASS,ok
R2O-PG-P032,primary,mixed_domain_distractor,abstain,factual,PASS,ok
R2O-PG-P033,primary,simple_definition,answer,process,PASS,ok
R2O-PG-P034,primary,contextual_definition,answer,definition,PASS,ok
R2O-PG-P035,primary,role_responsibility,answer,factual,PASS,ok
R2O-PG-P036,primary,impact_effect,abstain,definition,PASS,ok
R2O-PG-P037,primary,causal_why,abstain,relationship,PASS,ok
R2O-PG-P038,primary,how_process,answer,role,PASS,ok
R2O-PG-P039,primary,comparison,abstain,factual,PASS,ok
R2O-PG-P040,primary,relationship,answer,relationship,PASS,ok
R2O-PG-P041,primary,examples,answer,factual,PASS,ok
R2O-PG-P042,primary,trade_offs,abstain,role,PASS,ok
R2O-PG-P043,primary,architecture_components,abstain,requirement,PASS,ok
R2O-PG-P044,primary,capability_skill_requirement,abstain,process,PASS,ok
R2O-PG-P045,primary,enumerative_list,answer,role,PASS,ok
R2O-PG-P046,primary,multi_part,partial,relationship,PASS,ok
R2O-PG-P047,primary,broad_synthesis,answer,definition,PASS,ok
R2O-PG-P048,primary,narrow_factual,answer,definition,PASS,ok
R2O-PG-P049,primary,ambiguous_clarification,clarify-compatible,relationship,PASS,ok
R2O-PG-P050,primary,insufficient_evidence,abstain,relationship,PASS,ok
R2O-PG-P051,primary,partially_sufficient_evidence,partial,component,PASS,ok
R2O-PG-P052,primary,conflicting_evidence,abstain,causal,PASS,ok
R2O-PG-P053,primary,lexical_similarity_low_relevance,abstain,definition,PASS,ok
R2O-PG-P054,primary,short_query,answer,relationship,PASS,ok
R2O-PG-P055,primary,long_compositional_query,answer,relationship,PASS,ok
R2O-PG-P056,primary,paraphrase_equivalence,answer,requirement,PASS,ok
R2O-PG-P057,primary,adversarial_category_mutation,abstain,requirement,PASS,ok
R2O-PG-P058,primary,causal_strengthening_negative,abstain,relationship,PASS,ok
R2O-PG-P059,primary,universalization_negative,abstain,definition,PASS,ok
R2O-PG-P060,primary,modality_necessity_strengthening_negative,abstain,definition,PASS,ok
R2O-PG-P061,primary,temporal_version,abstain,temporal,PASS,ok
R2O-PG-P062,primary,provenance_source_trace,answer,provenance,PASS,ok
R2O-PG-P063,primary,simple_definition,answer,definition,PASS,ok
R2O-PG-P064,primary,contextual_definition,answer,process,PASS,ok
R2O-PG-P065,primary,impact_effect,abstain,requirement,PASS,ok
R2O-PG-P066,primary,causal_why,abstain,requirement,PASS,ok
R2O-PG-P067,primary,comparison,answer,comparison_dimension,PASS,ok
R2O-PG-P068,primary,architecture_components,abstain,factual,PASS,ok
R2O-PG-P069,primary,broad_synthesis,answer,factual,PASS,ok
R2O-PG-P071,primary,mixed_domain_distractor,abstain,factual,PASS,ok
R2O-PG-P072,primary,temporal_version,abstain,temporal,PASS,ok
R2O-PG-H001,primary,graph_relationship,answer,graph,PASS,ok
R2O-PG-P070,holdout,graph_relationship,answer,graph,PASS,ok
R2O-PG-H002,holdout,mixed_domain_distractor,abstain,tradeoff,PASS,ok
R2O-PG-H003,holdout,simple_definition,answer,factual,PASS,ok
R2O-PG-H004,holdout,contextual_definition,answer,capability,PASS,ok
R2O-PG-H029,holdout,role_responsibility,answer,component,PASS,ok
R2O-PG-H030,holdout,causal_why,abstain,requirement,PASS,ok
R2O-PG-H007,holdout,how_process,answer,factual,PASS,ok
R2O-PG-H008,holdout,comparison,abstain,factual,PASS,ok
R2O-PG-H031,holdout,trade_offs,abstain,requirement,PASS,ok
R2O-PG-H010,holdout,provenance_source_trace,answer,provenance,PASS,ok
R2O-PG-H011,holdout,paraphrase_equivalence,answer,factual,PASS,ok
R2O-PG-H012,holdout,relationship,abstain,requirement,PASS,ok
R2O-PG-H013,holdout,mixed_domain_distractor,abstain,relationship,PASS,ok
R2O-PG-H014,holdout,conflicting_evidence,abstain,definition,PASS,ok
R2O-PG-H015,holdout,adversarial_category_mutation,abstain,factual,PASS,ok
R2O-PG-H016,holdout,lexical_similarity_low_relevance,abstain,factual,PASS,ok
R2O-PG-H017,holdout,insufficient_evidence,abstain,factual,PASS,ok
R2O-PG-H018,holdout,universalization_negative,abstain,component,PASS,ok
R2O-PG-H019,holdout,causal_strengthening_negative,abstain,factual,PASS,ok
R2O-PG-H020,holdout,modality_necessity_strengthening_negative,abstain,process,PASS,ok
R2O-PG-H021,holdout,mixed_domain_distractor,abstain,causal,PASS,ok
R2O-PG-H022,holdout,conflicting_evidence,abstain,factual,PASS,ok
R2O-PG-H023,holdout,adversarial_category_mutation,abstain,component,PASS,ok
R2O-PG-H024,holdout,lexical_similarity_low_relevance,abstain,requirement,PASS,ok
R2O-PG-H025,holdout,insufficient_evidence,abstain,definition,PASS,ok
R2O-PG-H026,holdout,universalization_negative,abstain,requirement,PASS,ok
R2O-PG-H027,holdout,causal_strengthening_negative,abstain,relationship,PASS,ok
R2O-PG-H028,holdout,modality_necessity_strengthening_negative,abstain,process,PASS,ok
R2O-PG-H032,holdout,impact_effect,abstain,requirement,PASS,ok
R2O-PG-H033,holdout,examples,answer,requirement,PASS,ok
R2O-PG-H034,holdout,architecture_components,abstain,effect,PASS,ok
R2O-PG-H035,holdout,capability_skill_requirement,answer,requirement,PASS,ok
R2O-PG-H036,holdout,enumerative_list,answer,process,PASS,ok
R2O-PG-H037,holdout,multi_part,answer,component,PASS,ok
R2O-PG-H038,holdout,broad_synthesis,answer,causal,PASS,ok
R2O-PG-H039,holdout,narrow_factual,answer,factual,PASS,ok
R2O-PG-H040,holdout,ambiguous_clarification,clarify-compatible,capability,PASS,ok
