authority_id,source_identity,section_id,relation_kind,cue_spans,extractive_cue_byte_match,PASS_FAIL,reason
rel_auth_00274bb92f50dc8f72d5,concepts/durable-thread-state.md,concepts/durable-thread-state#durable-thread-state,factual,"Durable thread state is persistent interaction state that survives client disconnects, spans turns, and preserves enough context to resume without repeating unsafe side effects.",True,PASS,ok
rel_auth_009beb019eb1e163dd9a,concepts/completion-gate.md,concepts/completion-gate#gate-behavior,requirement,should,True,PASS,ok
rel_auth_00a10a34c9631ff4f65a,concepts/harnessability.md,concepts/harnessability#assessment,requirement,calls for,True,PASS,ok
rel_auth_0193f7c65c933de597ba,concepts/harness-agent-loop.md,concepts/harness-agent-loop#edited-adoption,requirement,required,True,PASS,ok
rel_auth_0560e0b7bf56a09ba0e5,concepts/harness-agent-loop.md,concepts/harness-agent-loop#source-adoption,relationship,accounts for,True,PASS,ok
rel_auth_0647c4a25755df2d2b37,concepts/agent-planning-strategies.md,concepts/agent-planning-strategies#adaptive-planning-and-replanning,factual,Adaptive planning revises the remaining plan when execution evidence invalidates a material assumption.,True,PASS,ok
rel_auth_0e4d75784ada026a3b76,concepts/agent-execution-paths.md,concepts/agent-execution-paths#pipeline,temporal,A pipeline divides work into a predetermined sequence of stages.,True,PASS,ok
rel_auth_13ca90e3303fe4451381,concepts/headless-harness-service.md,concepts/headless-harness-service#role,tradeoff,while,True,PASS,ok
rel_auth_14d33539f282c12d7afc,daniel_blog_en__pm-user-research-fieldwork-01,section_0f428df1d419b40aab43,relationship,Research should help,True,PASS,ok
rel_auth_1b109e9999793eba4d70,concepts/completion-gate.md,concepts/completion-gate#source-adoption,relationship,accounts for,True,PASS,ok
rel_auth_1d8cf35c619479996bca,concepts/item-turn-thread-protocol.md,concepts/item-turn-thread-protocol#item-turn-thread-protocol,component,separates,True,PASS,ok
rel_auth_1e0a207d8a1165ff725a,concepts/completion-gate.md,concepts/completion-gate#completion-gate,role,decides,True,PASS,ok
rel_auth_213a326c5d19b0d5f0fc,concepts/harness-verification.md,concepts/harness-verification#edited-adoption,requirement,required,True,PASS,ok
rel_auth_261736c5be0d9dd9ee72,concepts/agent-planning-strategies.md,concepts/agent-planning-strategies#plan-validation,requirement,should,True,PASS,ok
rel_auth_281c1acf3be7fd2e01b7,concepts/durable-thread-state.md,concepts/durable-thread-state#contents,factual,"The state should include thread identity, admitted task contract, current turn, outstanding decisions, tool proposals, observations, evidence pointers, progress markers, and terminal status.",True,PASS,ok
rel_auth_2ceaa67c7b6284974056,concepts/tool-call-proposal.md,concepts/tool-call-proposal#authority,requirement,should,True,PASS,ok
rel_auth_2eb0f15dc04750b572b9,concepts/durable-thread-state.md,concepts/durable-thread-state#recovery,capability,supports,True,PASS,ok
rel_auth_2ec045f6d050dea72ce4,concepts/agent-planning-strategies.md,concepts/agent-planning-strategies#production-hybrid,factual,"A robust production architecture commonly combines the strategies:

1.",True,PASS,ok
rel_auth_30b6871c88abf21745e1,concepts/goal-drift.md,concepts/goal-drift#source-adoption,temporal,This canonical concept accounts for Source PR #19 review item `m23review_0df0b6cb698712b98425cc2b05265565` with Daniel's `approve_new` decision. Source PR #19 remains a draft review surface and was not merged as-is.,True,PASS,ok
rel_auth_312b98095551891d6a14,concepts/harness.md,concepts/harness#operational-role,factual,"A useful harness makes proposals, tool calls, observations, approvals, failures, retries, and terminal outcomes visible as governed state.",True,PASS,ok
rel_auth_327a04fb9842d792e061,concepts/completion-gate.md,concepts/completion-gate#gate-behavior,factual,"The gate may accept, reject, request repair, defer for human decision, or mark the task blocked.",True,PASS,ok
rel_auth_33676ff99f5c8e86872c,concepts/item-turn-thread-protocol.md,concepts/item-turn-thread-protocol#protocol-roles,definition,"Items carry messages, tool proposals, approvals, observations, evidence, or status updates.",True,PASS,ok
rel_auth_345043b4a9829fda7d5a,concepts/harness-agent-loop.md,concepts/harness-agent-loop#narrowed-scope,process,lifecycle,True,PASS,ok
rel_auth_38d33a8ed8b52c107d21,concepts/tool-call-proposal.md,concepts/tool-call-proposal#source-adoption,relationship,accounts for,True,PASS,ok
rel_auth_3ad338300aa2f7cde2d9,concepts/tool-call-proposal.md,concepts/tool-call-proposal#authority,factual,"A proposal should include the tool name, intended action, arguments, expected effect, risk class, and evidence or context.",True,PASS,ok
rel_auth_3c2b37023ba8a4a2099c,concepts/headless-harness-service.md,concepts/headless-harness-service#headless-harness-service,role,A headless harness service is a UI-independent execution core that exposes harness operations through a stable protocol rather than tying them to one chat client or browser surface.,True,PASS,ok
rel_auth_429d8688ccdafcf41edf,concepts/harness.md,concepts/harness#source-adoption,relationship,accounts for,True,PASS,ok
rel_auth_42cfa376a52e78e349ec,concepts/task-contract.md,concepts/task-contract#source-adoption,relationship,accounts for,True,PASS,ok
rel_auth_431b95bdfe8d72d25ded,concepts/stopping-policy.md,concepts/stopping-policy#anti-loop-role,causal,"prevents repeated observation, blind reruns, and open-ended repair loops by",True,PASS,ok
rel_auth_431bbcf4ccad442fbb90,concepts/harness-agent-loop.md,concepts/harness-agent-loop#harness-agent-loop,role,decides,True,PASS,ok
rel_auth_4349185ed7691ff2aa85,concepts/agent-planning-strategies.md,concepts/agent-planning-strategies#step-contract,requirement,should,True,PASS,ok
rel_auth_436cba306d9361b195c2,concepts/harness-verification.md,concepts/harness-verification#narrowed-scope,definition,is the,True,PASS,ok
rel_auth_459a2af6b90f82842c54,concepts/agent-execution-paths.md,concepts/agent-execution-paths#direct,temporal,"A direct path uses one bounded operation when the information, tools, and output contract are already known.",True,PASS,ok
rel_auth_4d0c2b152d26906e178f,concepts/harnessability.md,concepts/harnessability#narrowed-scope,capability,can,True,PASS,ok
