case_id,canonical_failure_number,question,expected_article_path,source_slug,r0_membership_status,prior_baseline_first_bad_stage,prior_selected_expected_source_hit,successor_first_bad_stage_trace,candidate_after_hit,focused_recovery_status,terminal,note
S02,002,What does Harness Theory say an agent harness is responsible for?,src/content/blog/harness-theory-part-1/en.md,harness-theory-part-1,PROVEN_NOT_180_MEMBERSHIP_DEPENDENT,RETRIEVAL,0,NOT_RUN_LOCAL_WORKTREE_INDEX_REQUIRED,NOT_RUN,BLOCKED,M26_AQV2_SM_R1_RETRIEVAL_CONTEXT_BLOCKED_CODEX_REQUIRED_FOR_LOCAL_WORKTREE_INDEX_QUALIFICATION,R0 candidate authority accepted; executable trace and code qualification require bounded Codex local run.
S03,003,What is the difference between a workflow and an agent?,src/content/blog/ai-agentic-workflow-series-6/en.md,ai-agentic-workflow-series-6,PROVEN_NOT_180_MEMBERSHIP_DEPENDENT,RETRIEVAL,0,NOT_RUN_LOCAL_WORKTREE_INDEX_REQUIRED,NOT_RUN,BLOCKED,M26_AQV2_SM_R1_RETRIEVAL_CONTEXT_BLOCKED_CODEX_REQUIRED_FOR_LOCAL_WORKTREE_INDEX_QUALIFICATION,R0 candidate authority accepted; executable trace and code qualification require bounded Codex local run.
S07,021,What evidence should a user inspect in Codex after a task is marked done?,src/content/blog/codex-agent-harness-command-center-part-3/en.md,codex-agent-harness-command-center-part-3,PROVEN_180_SUCCESSOR_MEMBERSHIP_DEPENDENT,RETRIEVAL,0,NOT_RUN_LOCAL_WORKTREE_INDEX_REQUIRED,NOT_RUN,BLOCKED,M26_AQV2_SM_R1_RETRIEVAL_CONTEXT_BLOCKED_CODEX_REQUIRED_FOR_LOCAL_WORKTREE_INDEX_QUALIFICATION,R0 candidate authority accepted; executable trace and code qualification require bounded Codex local run.
S11,058,"What does Daniel mean by production RAG, and how does it differ from a toy RAG demo?",src/content/blog/from-rag-to-production-rag-part-3/en.md,from-rag-to-production-rag-part-3,PROVEN_NOT_180_MEMBERSHIP_DEPENDENT,RETRIEVAL,0,NOT_RUN_LOCAL_WORKTREE_INDEX_REQUIRED,NOT_RUN,BLOCKED,M26_AQV2_SM_R1_RETRIEVAL_CONTEXT_BLOCKED_CODEX_REQUIRED_FOR_LOCAL_WORKTREE_INDEX_QUALIFICATION,R0 candidate authority accepted; executable trace and code qualification require bounded Codex local run.
S12,082,When does a LoRA adapter not need to be merged into its base model?,src/content/blog/local-llm-fine-tuning-08/en.md,local-llm-fine-tuning-08,PROVEN_NOT_180_MEMBERSHIP_DEPENDENT,RETRIEVAL,0,NOT_RUN_LOCAL_WORKTREE_INDEX_REQUIRED,NOT_RUN,BLOCKED,M26_AQV2_SM_R1_RETRIEVAL_CONTEXT_BLOCKED_CODEX_REQUIRED_FOR_LOCAL_WORKTREE_INDEX_QUALIFICATION,R0 candidate authority accepted; executable trace and code qualification require bounded Codex local run.
S14,085,What does a citation check catch that a faithfulness check can miss?,src/content/blog/from-rag-to-production-rag-part-3/en.md,from-rag-to-production-rag-part-3,PROVEN_NOT_180_MEMBERSHIP_DEPENDENT,RETRIEVAL,0,NOT_RUN_LOCAL_WORKTREE_INDEX_REQUIRED,NOT_RUN,BLOCKED,M26_AQV2_SM_R1_RETRIEVAL_CONTEXT_BLOCKED_CODEX_REQUIRED_FOR_LOCAL_WORKTREE_INDEX_QUALIFICATION,R0 candidate authority accepted; executable trace and code qualification require bounded Codex local run.
S20,128,What should a validator do in an LLM application?,src/content/blog/pm-llm-application-engineering-02/en.md,pm-llm-application-engineering-02,PROVEN_NOT_180_MEMBERSHIP_DEPENDENT,RETRIEVAL,0,NOT_RUN_LOCAL_WORKTREE_INDEX_REQUIRED,NOT_RUN,BLOCKED,M26_AQV2_SM_R1_RETRIEVAL_CONTEXT_BLOCKED_CODEX_REQUIRED_FOR_LOCAL_WORKTREE_INDEX_QUALIFICATION,R0 candidate authority accepted; executable trace and code qualification require bounded Codex local run.
S21,129,How do tasks let work outlive an HTTP request?,src/content/blog/stateless-mcp-architecture-part-2/en.md,stateless-mcp-architecture-part-2,PROVEN_180_SUCCESSOR_MEMBERSHIP_DEPENDENT,RETRIEVAL,0,NOT_RUN_LOCAL_WORKTREE_INDEX_REQUIRED,NOT_RUN,BLOCKED,M26_AQV2_SM_R1_RETRIEVAL_CONTEXT_BLOCKED_CODEX_REQUIRED_FOR_LOCAL_WORKTREE_INDEX_QUALIFICATION,R0 candidate authority accepted; executable trace and code qualification require bounded Codex local run.
S22,144,What makes an MCP contract healthy rather than merely full of fields?,src/content/blog/mcp-engineering-deep-dive-03/en.md,mcp-engineering-deep-dive-03,PROVEN_NOT_180_MEMBERSHIP_DEPENDENT,RETRIEVAL,0,NOT_RUN_LOCAL_WORKTREE_INDEX_REQUIRED,NOT_RUN,BLOCKED,M26_AQV2_SM_R1_RETRIEVAL_CONTEXT_BLOCKED_CODEX_REQUIRED_FOR_LOCAL_WORKTREE_INDEX_QUALIFICATION,R0 candidate authority accepted; executable trace and code qualification require bounded Codex local run.
S26,158,Why are tasks different from request-scoped state?,src/content/blog/stateless-mcp-architecture-part-2/en.md,stateless-mcp-architecture-part-2,PROVEN_180_SUCCESSOR_MEMBERSHIP_DEPENDENT,RETRIEVAL,0,NOT_RUN_LOCAL_WORKTREE_INDEX_REQUIRED,NOT_RUN,BLOCKED,M26_AQV2_SM_R1_RETRIEVAL_CONTEXT_BLOCKED_CODEX_REQUIRED_FOR_LOCAL_WORKTREE_INDEX_QUALIFICATION,R0 candidate authority accepted; executable trace and code qualification require bounded Codex local run.
S27,162,Why does a retrieval miss need to be separated from a generation failure?,src/content/blog/rag-engineering-in-practice-06/en.md,rag-engineering-in-practice-06,PROVEN_NOT_180_MEMBERSHIP_DEPENDENT,RETRIEVAL,0,NOT_RUN_LOCAL_WORKTREE_INDEX_REQUIRED,NOT_RUN,BLOCKED,M26_AQV2_SM_R1_RETRIEVAL_CONTEXT_BLOCKED_CODEX_REQUIRED_FOR_LOCAL_WORKTREE_INDEX_QUALIFICATION,R0 candidate authority accepted; executable trace and code qualification require bounded Codex local run.
S10,045,"What belongs in documents, embeddings, and a graph?",src/content/blog/llm-wiki-theory-part-2-architecture/en.md,llm-wiki-theory-part-2-architecture,PROVEN_NOT_180_MEMBERSHIP_DEPENDENT,RETRIEVAL,0,NOT_RUN_LOCAL_WORKTREE_INDEX_REQUIRED,NOT_RUN,BLOCKED,M26_AQV2_SM_R1_RETRIEVAL_CONTEXT_BLOCKED_CODEX_REQUIRED_FOR_LOCAL_WORKTREE_INDEX_QUALIFICATION,R0 candidate authority accepted; executable trace and code qualification require bounded Codex local run.
