file,function,line_span,deterministic_gate,current_review_enabled_behavior,classification,required_repair,test_fixture
src/knowledge_engine/m26_pa7_arbitrary_query_runtime.py,_verify_multi_evidence_provider_output,base:3069-3078,relational claim distinct-source minimum,semantic_review_enabled bypassed the two-source failure for multi-source claim roles,A_ALWAYS_DETERMINISTIC,run distinct-source minimum regardless of reviewer,test_repair2_one_source_comparison_fails_with_entailed_review
src/knowledge_engine/m26_pa7_arbitrary_query_runtime.py,_verify_multi_evidence_provider_output,base:3081-3108,claim surface semantics and deterministic facet validation,semantic_review_enabled replaced deterministic validation with requested_facets intersect required_facets,A_ALWAYS_DETERMINISTIC,always run _verify_claim_surface_semantics and _validated_claim_facets before reviewer,test_repair2_context_only_definition_negatives_fail_with_entailed_review
src/knowledge_engine/m26_pa7_arbitrary_query_runtime.py,_verify_multi_evidence_provider_output,base:3145-3152,intent structural minimums,semantic_review_enabled skipped minimums except graph/provenance,A_ALWAYS_DETERMINISTIC,run _enforce_intent_minimums for every intent regardless of reviewer,test_repair2_one_source_comparison_fails_with_entailed_review
src/knowledge_engine/m26_pa7_arbitrary_query_runtime.py,_verify_multi_evidence_provider_output,base:3169-3174,required-facet coverage,reviewer success granted all required facets,C_REVIEWER_ONLY_OBSERVABILITY,remove reviewer coverage widening and keep coverage claim-local,test_repair2_reviewer_success_cannot_cover_missing_required_facet
src/knowledge_engine/m26_pa7_arbitrary_query_runtime.py,_validated_claim_facets,base:3380-3392,MODEL_EXPLANATION material authority,unsupported MODEL_EXPLANATION could cover requested required facets from visible terms,A_ALWAYS_DETERMINISTIC,return no material facets for unsupported model explanation,test_repair2_model_explanation_declared_facet_fails_with_generic_review
src/knowledge_engine/m26_pa7_arbitrary_query_runtime.py,_validate_semantic_entailment_review,base:3233-3354,claim-local reviewer confirmation,reviewer validates schema visible coverage verdict claim ids verdicts and local evidence ids,C_REVIEWER_ONLY_OBSERVABILITY,no authority widening allowed; retain as veto only,test_tesc_semantic_review_visible_claim_omission_fails_closed
src/knowledge_engine/m26_pa7_semantic_closure_runtime.py,synthesize_with_semantic_closure,base:549-567,pre-review material coverage and partial gap checks,candidate coverage is checked before reviewer call,B_SEMANTIC_REVIEW_CAN_REPLACE_ONLY_NLI_JUDGMENT,retain deterministic pre-review coverage checks,test_semantic_review_one_repair_preserves_supported_partial
src/knowledge_engine/m26_pa7_semantic_closure_runtime.py,synthesize_with_semantic_closure,base:592-624,reviewer local evidence and blocking verdict checks,reviewer failures trigger repair or partial salvage,C_REVIEWER_ONLY_OBSERVABILITY,retain reviewer as confirmation/veto only,test_semantic_review_final_rejection_publishes_entailed_claims_as_partial
src/knowledge_engine/m26_pa7_semantic_closure_runtime.py,synthesize_with_semantic_closure,base:661-673,legacy verifier receives semantic review after prechecks,legacy verifier previously contained authority widening when semantic_review was present,A_ALWAYS_DETERMINISTIC,delegate to repaired verifier that always runs deterministic gates,test_repair2_context_only_definition_negatives_fail_with_entailed_review
src/knowledge_engine/m26_aq_semantic_contract.py,contract/static prompt inspection,base:census,no runtime semantic_review_enabled branch found,no direct verifier bypass found,C_REVIEWER_ONLY_OBSERVABILITY,no source edit required; keep prompt/contract observational,test_semantic_review_protocol_exposes_allowed_local_evidence_ids
