case_id,pool,family,expected_behavior,gold_mode,required_prop_id,required_prop_text,support_ref,support_role,extractive_exact_match,deterministic_normalized_match,structural_certificate_match,sentinel_atomic_mapping_pass,context_or_distractor_used_as_authority,hostile_semantic_review_required,PASS_FAIL,reason
R2O-PG-P001,primary,simple_definition,answer,extractive,R2O-PG-P001-PROP01,A state machine represents named states and legal transitions selected by guards or conditions.,R2O-PG-P001-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P002,primary,contextual_definition,answer,extractive,R2O-PG-P002-PROP01,ReAct-style execution chooses the next local action after observing the result of the previous action.,R2O-PG-P002-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P003,primary,role_responsibility,answer,extractive,R2O-PG-P003-PROP01,Hierarchical planning decomposes a large goal into subgoals and executable tasks at several levels.,R2O-PG-P003-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P004,primary,impact_effect,abstain,context_only,R2O-PG-P004-PROP01,"Validation strength should match task risk.

Natural-language review can detect missing requirements or weak sequencing in low-risk work.",R2O-PG-P004-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P005,primary,causal_why,abstain,context_only,R2O-PG-P005-PROP01,"A bounded executor should receive:

- one step objective;
- allowed tools and inputs;
- expected output schema;
- completion criteria;
- prohibited actions;
- time, token, tool, and money budgets;
- maximum action and retry counts;
- current progress state;
- escalation policy;
- provenance requirements.",R2O-PG-P005-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P006,primary,how_process,answer,extractive,R2O-PG-P006-PROP01,A later operator should be able to reconstruct the run from the authoritative state and attached evidence without trusting an unbounded conversation transcript.,R2O-PG-P006-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P007,primary,comparison,answer,extractive,R2O-PG-P007-PROP01,"Completion is a state transition owned by the harness or by an explicitly named reviewer.

Canonical run authority is the system of record that owns authoritative run identity, state, transitions, evidence pointers, approvals, and terminal status.",R2O-PG-P007-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P007,primary,comparison,answer,extractive,R2O-PG-P007-PROP01,"Completion is a state transition owned by the harness or by an explicitly named reviewer.

Canonical run authority is the system of record that owns authoritative run identity, state, transitions, evidence pointers, approvals, and terminal status.",R2O-PG-P007-SUP02,comparison_peer,True,True,,,False,False,PASS,ok
R2O-PG-P008,primary,relationship,answer,extractive,R2O-PG-P008-PROP01,This canonical concept accounts for Source PR #19 review item `m23review_ed53fb63ef649af90d2e2f73e85ae5e7` with Daniel's `approve_new` decision.,R2O-PG-P008-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-P009,primary,examples,answer,extractive,R2O-PG-P009-PROP01,"Durability supports pause, resume, crash recovery, audit, and handoff.",R2O-PG-P009-SUP01,primary,True,True,,,False,False,PASS,ok
